# Windows

# Mac
Cut 							command + x
Copy 							command + c
Paste 							command + v
Duplicate Line or Selection		command + d
Remove Line 					command + y

Find 							command + f
	Next Occurrence 			F3
	Previous Occurrence.        shift + F3
Find in Path 					ctrl + shift + f

Rename 							shift + F6

Search Everywhere 				double shift

Project View 					command + 1
Run View 						command + 4
Debug View 						command + 5
Version Control View 			command + 9

Run 							shift + F10
Debug 							shift + F9

Show Intention Actions 			alt + enter

Navigate Declaraion 			command + button1
Navigate Implementation 		command + alt + button1
Navigate Type Declaration 		command + shift + button1
Navigate Back 					command + alt + <-
Navigate Forward 				command + alt + ->
